,Unnamed: 0,File Name,Candidate,Sentence,Propaganda Segments,Loaded_Language,"Name_Calling,Labeling",Repetition,"Exaggeration,Minimisation",Doubt,Appeal_to_fear-prejudice,Flag-Waving,Causal_Oversimplification,Slogans,Appeal_to_Authority,Black-and-White_Fallacy,Thought-terminating Cliches,"Whataboutism,Straw_Men,Red_Herring","Obfuscation,Intentional_Vagueness,Confusion","Bandwagon,Reductio_ad_hitlerum",Num Prop,Thought-terminating_Cliches,Content_Category
0,0,DT_press_release_114.txt,DT,Trump received the endorsement of two true American heroes who fought against all odds in a hostile foreign land to save more than twenty-five American lives,"true American heroes: Repetition, ""fought against all odds"": Repetition, ""American"": Repetition",,,3.0,,,,,,,,,,,,,3.0,,press_release
1,1,DT_press_release_114.txt,DT,"Mark ""OZ"" Geist and John ""TIG"" Tiegen are two of the individuals responsible for the defense and rescue of dozens of Americans during the terror attacks on the U.S",Americans: Repetition,,,1.0,,,,,,,,,,,,,1.0,,press_release
2,2,DT_press_release_114.txt,DT,"Trump stated ""I am truly honored to have the support of these American heroes the best of their generation",American heroes the best of their generation The American people can know with certainty I will always place their interest above all else I am the most militaristic person: Flag-Waving,,,,,,,1.0,,,,,,,,,1.0,,press_release
3,3,DT_press_release_114.txt,DT,The American people can know with certainty I will always place their interest above all else,"American people: Flag-Waving, """"always place their interest above all else I am the most militaristic person and it is so important to me to strengthen our military and protect American families and freedoms."""""""": Flag-Waving",,,,,,,2.0,,,,,,,,,2.0,,press_release
4,4,DT_press_release_114.txt,DT,"I am the most militaristic person and it is so important to me to strengthen our military and protect American families and freedoms."" Mark ""OZ"" Geist said ""We perhaps more than any Americans know the absolute and imperative reason that we elect Donald J","militaristic person: Name_Calling,Labeling",,1.0,,,,,,,,,,,,,,1.0,,press_release
5,5,DT_press_release_114.txt,DT,First and foremost under a Trump administration the request for additional security by an ambassador would have been heeded and second there is no question when the attack camehe would have moved heaven and earth to provide the necessary forces to protect and reinforce our warriors,"moved heaven and earth: Loaded_Language, ""our warriors Mr Trump is the bold decisive leader America needs at this time"": Flag-Waving",1.0,,,,,,,,,,,,,,,2.0,,press_release
6,6,DT_press_release_114.txt,DT,"Oz added ""Under President Trump many conflicts will be avoided because our enemies will fear the United States and our military."" John Tiegen added ""It is very clear to see the groundswell of support never seen before in recent politics","""our enemies will fear the United States and our military."""""": Flag-Waving",,,,,,,1.0,,,,,,,,,1.0,,press_release
7,7,DT_press_release_114.txt,DT,Americans want a strong leader one who cares more about the safety and freedom of the American people than he does winning elections or what the press might think,Americans want a strong leader one who cares more about the safety and freedom of the American people than he does winning elections or what the press might think: Flag-Waving,,,,,,,1.0,,,,,,,,,1.0,,press_release
8,8,DT_press_release_276.txt,DT,"Trumps achievement of exceeding the 1237 delegates needed to clench the Republican nomination:"" ""I congratulate Donald Trump for his primary victory against a field of seventeen formidable candidates",formidable candidates: Repetition,,,1.0,,,,,,,,,,,,,1.0,,press_release
9,9,DT_press_release_276.txt,DT,The American people made their voices loud and clear,The American people made their voices loud and clear They do not want more of the same: Repetition,,,1.0,,,,,,,,,,,,,1.0,,press_release
10,10,DT_press_release_276.txt,DT,They do not want more of the same,They do not want more of the same: Flag-Waving,,,,,,,1.0,,,,,,,,,1.0,,press_release
11,11,DT_press_release_276.txt,DT,Yet as we move to the general election more of the same is exactly what Hillary Clinton offers,more of: Repetition,,,1.0,,,,,,,,,,,,,1.0,,press_release
12,12,DT_press_release_276.txt,DT,More failed trade deals more failed foreign adventures more lawlessness in our immigration system,More failed trade deals more failed foreign adventures more lawlessness in our immigration system: Flag-Waving,,,,,,,1.0,,,,,,,,,1.0,,press_release
13,13,DT_press_release_276.txt,DT,Donald Trump on the other hand stood against powerful forces and the conventional thinking of a comfortable establishment to boldly declare that our country is on the wrong track that current policies are not working and that prosperity is steadily slipping away from the American people,our country is on the wrong track that current policies are not working and that prosperity is steadily slipping away from the American people: Flag-Waving,,,,,,,1.0,,,,,,,,,1.0,,press_release
14,14,DT_press_release_276.txt,DT,His vision provides an historic opportunity to unify our people and break through old battle lines to enable the greatness of America to arise again,the greatness: Flag-Waving,,,,,,,1.0,,,,,,,,,1.0,,press_release
15,15,DT_press_release_276.txt,DT,Donald Trump cares that working Americans are hurting he understands the policy errors that have caused it to happen and importantly he is determined to use all his strength and skill to get us on the right track again,working Americans: Flag-Waving,,,,,,,1.0,,,,,,,,,1.0,,press_release
16,16,DT_press_release_276.txt,DT,"""There is so much that must be done – and done before its too late","""""""There is so much that must be done – and done before its too late"": Repetition",,,1.0,,,,,,,,,,,,,1.0,,press_release
17,17,DT_press_release_276.txt,DT,He will finally respect and respond to the American peoples demand for a lawful immigration system that serves Americas interests,American: Flag-Waving,,,,,,,1.0,,,,,,,,,1.0,,press_release
18,18,DT_press_release_276.txt,DT,A vote for Hillary Clinton is a vote for a failed status quo that for too long has put the special interests ahead of the peoples interests,"""A vote for Hillary Clinton is a vote for a failed status quo that for too long has put the special interests ahead of the peoples interests A vote for Donald Trump is a vote for American security sovereignty and prosperity."""""": Black-and-White_Fallacy",,,,,,,,,,,1.0,,,,,1.0,,press_release
19,19,DT_press_release_276.txt,DT,"Trump and his millions of supporters to make America great again."" ",millions of: Repetition,,,1.0,,,,,,,,,,,,,1.0,,press_release
