,File Name,Candidate,Sentence,Propaganda Segments,Loaded_Language,"Name_Calling,Labeling",Repetition,"Exaggeration,Minimisation",Doubt,Appeal_to_fear-prejudice,Flag-Waving,Causal_Oversimplification,Slogans,Appeal_to_Authority,Black-and-White_Fallacy,Thought-terminating_Cliches,"Whataboutism,Straw_Men,Red_Herring","Obfuscation,Intentional_Vagueness,Confusion","Bandwagon,Reductio_ad_hitlerum",Num Prop
0,DT0_500.txt,DT,"On National #VoterRegistrationDay, make sure you're registered to vote so we can #MakeAmericaGreatAgain… https://t.co/0wib6UEZON",we can #MakeAmericaGreatAgain: Repetition,,,1,,,,,,,,,,,,,1.0
1,DT0_500.txt,DT,Hillary Clinton's Campaign Continues To Make False Claims About Foundation Disclosure: https://t.co/zhkEfUouHH,Make False Claims: Loaded_Language,1,,,,,,,,,,,,,,,1.0
2,DT0_500.txt,DT,"'CNBC, Time magazine online polls say Donald Trump won the first presidential debate' via @WashTimes. #MAGA https://t.co/PGimqYKPoJ",MAGA: Repetition,,,1,,,,,,,,,,,,,1.0
3,DT0_500.txt,DT,"In the last 24 hrs. we have raised over $13M from online donations and National Call Day, and we’re still going! Thank you America! #MAGA","Thank you America: Repetition, ""MAGA"": Repetition",,,2,,,,,,,,,,,,,2.0
4,DT0_500.txt,DT,"Well, now they're saying that I not only won the NBC Presidential Forum, but last night the big debate. Nice!",Nice: Loaded_Language,1,,,,,,,,,,,,,,,1.0
5,DT0_500.txt,DT,"Thank you for your endorsement, @GovernorSununu. #MAGA https://t.co/8BEeQPsuyd",MAGA: Repetition,,,1,,,,,,,,,,,,,1.0
6,DT0_500.txt,DT,Such a great honor. Final debate polls are in - and the MOVEMENT wins! #AmericaFirst #MAGA #ImWithYou… https://t.co/DV1BKMwHEM,"Such a great honor: Exaggeration,Minimisation, ""MAGA"": Repetition",,,,1,,,,,,,,,,,,2.0
7,DT0_500.txt,DT,Thank you! #TrumpWon #MAGA https://t.co/a5rr1i38km,MAGA: Repetition,,,1,,,,,,,,,,,,,1.0
8,DT0_500.txt,DT,Hillary's been failing for 30 years in not getting the job done - it will never change.,Hillary's been failing for 30 years in not getting the job done - it will never change: Doubt,,,,,1,,,,,,,,,,,1.0
9,DT0_500.txt,DT,'True blue-collar billionaire Donald Trump shows Hillary Clinton is out of touch' https://t.co/NHO1OicfVm,True blue-collar billionaire Donald Trump shows Hillary Clinton is out of touch: Doubt,,,,,1,,,,,,,,,,,1.0
10,DT0_500.txt,DT,I really enjoyed the debate last night.Crooked Hillary says she is going to do so many things.Why hasn't she done them in her last 30 years?,Crooked Hillary says she is going to do so many things.Why hasn't she done them in her last 30 years: Doubt,,,,,1,,,,,,,,,,,1.0
11,DT0_500.txt,DT,"Thank you! Four new #DebateNight polls with the MOVEMENT winning. Together, we will MAKE AMERICA SAFE &amp; GREAT AGAIN… https://t.co/39FCnUf8Pb",we will MAKE AMERICA SAFE &amp; GREAT AGAIN: Slogans,,,,,,,,,1,,,,,,,1.0
12,DT0_500.txt,DT,.@DRUDGE_REPORT's First Presidential Debate Poll: Trump: 80% Clinton: 20% Join the MOVEMENT today &amp; lets #MAGA!… https://t.co/B12lgC97tn,lets #MAGA: Slogans,,,,,,,,,1,,,,,,,1.0
13,DT0_500.txt,DT,"TIME #DebateNight poll - over 800,000 votes. Thank you! #AmericaFirst #MAGA https://t.co/bTPX9E0wKu",MAGA: Repetition,,,1,,,,,,,,,,,,,1.0
14,DT0_500.txt,DT,".@newtgingrich just said ""a historic victory for Trump."" NICE!",NICE: Loaded_Language,1,,,,,,,,,,,,,,,1.0
15,DT0_500.txt,DT,Thank you Governor @Mike_Pence! Lets MAKE AMERICA SAFE AND GREAT AGAIN with the American people. #AmericaFirst… https://t.co/6k7qP9X8nC,"Thank you Governor @Mike_Pence: Slogans, ""Lets MAKE AMERICA SAFE AND GREAT AGAIN with the American people"": Flag-Waving",,,,,,,,,1,,,,,,,2.0
16,DT0_500.txt,DT,Thank you Senator @TedCruz! #Debates2016 #MAGA https://t.co/cgO6109USJ,MAGA: Repetition,,,1,,,,,,,,,,,,,1.0
17,DT0_500.txt,DT,.@HillaryClinton - Obama #ISIS Strategy Has Allowed It To Expand To Become A Global Threat #DebateNight https://t.co/f7PctDE31L,"A Global Threat: Name_Calling,Labeling",,1,,,,,,,,,,,,,,1.0
18,DT0_500.txt,DT,"Russia has more warheads than ever, N Korea is testing nukes, and Iran got a sweetheart deal to keep theirs. Thanks, @HillaryClinton.",sweetheart deal: Loaded_Language,1,,,,,,,,,,,,,,,1.0
